geometry,OBJECTID,TAGID,CNAME1,CNAME2,CNAME3,GENUS,SPECIES,CULTIVAR,DIAMETER,DBHHEIGHT,NUMTRUNK,HEIGHT,TRUNKHEIGHT,CRADAVG,Latitude,Longitude,Long,longitude,latitude
POINT (-76.9532745 38.9894372),14181,0,Pine,Japanese Black,,Pinus,thunbergii,,3.2,4.5,1,7,0.5,7.6,,,,-76.9532745,38.9894372
POINT (-76.9482275 38.9925215),14182,0,Viburnum,Possumhaw,,Viburnum,nudum,,0,4.5,1,3,0,1,,,,-76.9482275,38.9925215
POINT (-76.9413799 38.9912794),14183,0,,,,Deutzia,gracilis,Nikko,0,0,0,0,0,0,,,,-76.9413799,38.9912794
POINT (-76.9398551 38.9855283),14184,658,Oak,Willow,,Quercus,phellos,,28.4,4.5,1,61,14,24.4,,,,-76.9398551,38.9855283
POINT (-76.9405459 38.9868455),14185,2876,Lilac,Japanese-Tree,,Syringa,reticulata,,9.3,4.5,2,33,0,21.1,,,,-76.9405459,38.9868455
POINT (-76.9517474 38.9917788),14186,3486,Holly,Hybrid,,Ilex,x,,0,4.5,1,13,0,3,,,,-76.9517474,38.9917788
POINT (-76.9460773 38.9921474),14187,2501,Cedar,Atlas,Blue,Cedrus,atlantica,Glauca,15.8,4.5,1,39,1,19.7,,,,-76.9460773,38.9921474
POINT (-76.9482892 38.9921062),14188,0,Hibiscus,,,Hibiscus,,,0,4.5,1,0,0,0,,,,-76.9482892,38.9921062
POINT (-76.9453689 38.9876846),14189,0,Juniper,Chinese,Sea Green,Juniperus,chinensis,Sea Green,0,4.5,1,0,0,0,,,,-76.9453689,38.9876846
POINT (-76.947913 38.9833882),14190,0,Crapemyrtle,,,Lagerstroemia,sp.,,0,4.5,1,15,7,9,,,,-76.947913,38.9833882
POINT (-76.9323691 38.9830947),14191,1582,Pine,Eastern White,,Pinus,strobus,,23.3,4.5,1,49,5,20.5,,,,-76.9323691,38.9830947
POINT (-76.9227306 38.9957754),14192,0,Barberry,Japanese,,Berberis,thunbergii,,0,4.5,1,2.5,0,2,,,,-76.9227306,38.9957754
POINT (-76.9497594 38.9922443),14193,0,Yew,English,Spreading,Taxus,baccata,Repandens,0,4.5,1,0,0,0,,,,-76.9497594,38.9922443
